,,,,,,,,,,,,,,,,,,,,
,Tabla de conversiones,,,Bachelors,,,,,,,,,,,,,,,,
,Australia,The University of Western Australia,Business,Bachelor of Business,Accounting,Perth                                 Albany,"Semester 1: February
Semester 2: July",3 years full time," $ 45.500,00 ",AUD,https://www.uwa.edu.au/study/courses/bachelor-of-commerce#degree-overview,,,,,,,,,
,Australia,The University of Western Australia,Business,Bachelor of Business,Business Analytics,Perth                                 Albany,"Semester 1: February
Semester 2: July",3 years full time," $ 45.500,00 ",AUD,https://www.uwa.edu.au/study/courses/bachelor-of-commerce#degree-overview,,,,,,,,,
,Australia,The University of Western Australia,Business,Bachelor of Business,Business Law,Perth                                 Albany,"Semester 1: February
Semester 2: July",3 years full time," $ 45.500,00 ",AUD,https://www.uwa.edu.au/study/courses/bachelor-of-commerce#degree-overview,,,,,,,,,
,Australia,The University of Western Australia,Business,Bachelor of Business,Business Economics,Perth                                 Albany,"Semester 1: February
Semester 2: July",3 years full time," $ 45.500,00 ",AUD,https://www.uwa.edu.au/study/courses/bachelor-of-commerce#degree-overview,,,,,,,,,
,Australia,The University of Western Australia,Business,Bachelor of Business,Finance,Perth                                 Albany,"Semester 1: February
Semester 2: July",3 years full time," $ 45.500,00 ",AUD,https://www.uwa.edu.au/study/courses/bachelor-of-commerce#degree-overview,,,,,,,,,
,Australia,The University of Western Australia,Business,Bachelor of Business,Human Resource Management,Perth                                 Albany,"Semester 1: February
Semester 2: July",3 years full time," $ 45.500,00 ",AUD,https://www.uwa.edu.au/study/courses/bachelor-of-commerce#degree-overview,,,,,,,,,
,Australia,The University of Western Australia,Business,Bachelor of Business,Management,Perth                                 Albany,"Semester 1: February
Semester 2: July",3 years full time," $ 45.500,00 ",AUD,https://www.uwa.edu.au/study/courses/bachelor-of-commerce#degree-overview,,,,,,,,,
,Australia,James Cook University,Business,Bachelor of Business,Business Intelligence and Information Systems,"Online
Townsville
Cairns
Singapore
Brisbane","January, May, September",3 years full-time," $ 34.608,00 ",AUD,https://www.jcu.edu.au/courses/bachelor-of-business?international,,,,,,,,,
,Australia,James Cook University,Business,Bachelor of Business,Hospitality and Tourism Management,"Online
Townsville
Cairns
Singapore
Brisbane","January, May, September",3 years full-time," $ 34.608,00 ",AUD,https://www.jcu.edu.au/courses/bachelor-of-business?international,,,,,,,,,
,Australia,James Cook University,Business,Bachelor of Business,Human Resources Management,"Online
Townsville
Cairns
Singapore
Brisbane","January, May, September",3 years full-time," $ 34.608,00 ",AUD,https://www.jcu.edu.au/courses/bachelor-of-business?international,,,,,,,,,
,Australia,James Cook University,Business,Bachelor of Business,International Business,"Online
Townsville
Cairns
Singapore
Brisbane","January, May, September",3 years full-time," $ 34.608,00 ",AUD,https://www.jcu.edu.au/courses/bachelor-of-business?international,,,,,,,,,
,Australia,James Cook University,Business,Bachelor of Business,Management,"Online
Townsville
Cairns
Singapore
Brisbane","January, May, September",3 years full-time," $ 34.608,00 ",AUD,https://www.jcu.edu.au/courses/bachelor-of-business?international,,,,,,,,,
,Australia,James Cook University,Business,Bachelor of Business,Marketing for the Digital Age,"Online
Townsville
Cairns
Singapore
Brisbane","January, May, September",3 years full-time," $ 34.608,00 ",AUD,https://www.jcu.edu.au/courses/bachelor-of-business?international,,,,,,,,,
,Australia,James Cook University,Business,Bachelor of Business,"Sports and Events Management
","Online
Townsville
Cairns
Singapore
Brisbane","January, May, September",3 years full-time," $ 34.608,00 ",AUD,https://www.jcu.edu.au/courses/bachelor-of-business?international,,,,,,,,,
,Australia,The University of Western Australia,Economics,Bachelor of Economics,Economy,Perth (Crawley campus),"Februrary, July",3 years full-time," $ 48.000,00 ",AUD,https://www.uwa.edu.au/study/courses/economics-major,,,,,,,,,
,Australia,The University of Western Australia,Business,Bachelor of Business,Major in Global Business,Perth (Crawley campus),"Februrary, July",3 years full-time," $ 48.000,00 ",AUD,https://www.uwa.edu.au/study/courses/global-business ,,,,,,,,,
,Australia,The University of Western Australia,Business,Bachelor of Commerce ,"Major in Marketing
",Perth (Crawley campus),"Februrary, July",3  years full-time," $ 48.000,00 ",AUD,https://www.uwa.edu.au/study/courses/marketing,,,,,,,,,
,Australia,The University of Western Australia,Business,"

Bachelor of Commerce ",Major in Finance ,Perth (Crawley campus) / Albany (Regional campus),"Februrary, July",3 years full-time," $ 48.000,00 ",AUD,https://www.uwa.edu.au/study/courses/finance ,,,,,,,,,
,Australia,Macquarie University,Business,Bachelor of Commerce ,Major of Management,Perth (Crawley campus),"Februrary, July",3 years full-time," $ 45.500,00 ",AUD,https://www.uwa.edu.au/study/courses/business-management,,,,,,,,,
,Alemania,SRH Berlin,Business,Bachelor of Arts,International Business Administration,Berlin,"October, February, May",3 years full-time,"€8.280,00",EUR,https://www.srh-university.de/en/bachelor/international-business-administration/b/,,,,,,,,,
,Alemania,SRH Berlin,Business,Bachelor of arts,Law economics and business,Berlin,"October, February, May",3 years full-time,"€8.280,00",EUR,https://www.srh-university.de/en/bachelor/law-economics-and-governance/l/,,,,,,,,,
,Alemania,SRH Berlin,Business,bachelor in arts,International Business Administration,Berlin,"October, February, May",3 years,"€8.280,00",EUR,https://www.srh-university.de/en/bachelor/international-business-administration/b/,,,,,,,,,
,Alemania,SRH Berlin,Business,Bachelor in arts,Advertising and brand desing,Berlin,"October, February, May",3.5 years,"€9.000,00",EUR,https://www.srh-university.de/en/bachelor/advertising-brand-design/c/,,,,,,,,,
,Alemania,SRH Berlin,Business,Bachelor in arts,Advertising and brand desing,Berlin,"October, February, May",3.5 years,"€9.000,00",EUR,https://www.srh-university.de/en/bachelor/advertising-brand-design/c/,,,,,,,,,
,Alemania,SRH Berlin,Business,Bachelor of engineering,business engineering,Berlin,"October, February, May",3.5 years,"€9.480,00",EUR,https://www.srh-university.de/en/bachelor/business-engineering/e/,,,,,,,,,
,Alemania,SRH Berlin,Business,Bachelor in arts,business psycology,Berlin,"October, February, May",3 years,"€8.280,00",EUR,https://www.srh-university.de/en/bachelor/international-business-administration-business-psychology/b/,,,,,,,,,
,Alemania,SRH Berlin,Business,Bachelor in arts,Digital marketing,Berlin,"October, February, May",3 years,"€8.280,00",EUR,https://www.srh-university.de/en/bachelor/international-business-administration-digital-marketing/b/,,,,,,,,,
,Alemania,SRH Berlin,Business,Bachelor of arts,supply chain management,Berlin,"October, February, May",3 years,"€8.280,00",EUR,https://www.srh-university.de/en/bachelor/international-business-administration-supply-management/b/,,,,,,,,,
,Alemania,Constructor University,Business,bachelor of arts,Global Economics and Management (BA),Bremen,September,3 years,"€20.000,00",EUR,https://constructor.university/programs/undergraduate-education/global-economics-and-management,,,,,,,,,
,Alemania,Constructor University,Business,bachelor of arts,International Business Administration (BA),Bremen,September,3 years,"€20.000,00",EUR,https://constructor.university/programs/undergraduate-education/international-business-administration,,,,,,,,,
,Alemania,Constructor University,Business,bachelor of science,"Management, Decisions and Data Analytics (BSc)",Bremen,September,3 years,"€20.000,00",EUR,https://constructor.university/programs/undergraduate-education/management-decisions-and-data-analytics,,,,,,,,,
,Alemania,Berlin School of Business and Innovation,Business,bachelor of science,BSc (Hons) International Business and Management,Berlin,"October, February",3 years,"€9.925,00",EUR,https://www.berlinsbi.com/programmes/undergraduate/bsc-hons-international-business-and-management,,,,,,,,,
,Alemania,Berlin School of Business and Innovation,Business,bachelor of arts,BA in Economics and Business Administration,Barcelona,No hay fecha,3 years,"€11.000,00",EUR,https://www.berlinsbi.com/programmes/undergraduate/ba-in-economics-and-business-administration,,,,,,,,,
,España,EU Business School,Business,bachelor of business administration,BBA - Bachelor of Business Administration,Barcelona,"October, February, June, August",3 years,"€14.100,00",EUR,https://www.euruni.edu/en/Programs/Bachelor-s/BBA-Bachelor-of-Business-Administration-Barcelona/Overview/Overview.html,,,,,,,,,
,Suiza,EU Business School,Business,bachelor of business administration,BBA - Bachelor of Business Administration,Geneva,"October, February, June, August",3 years,"30.200,00",CHF,https://www.euruni.edu/en/Programs/Bachelor-s/BBA-Bachelor-of-Business-Administration-Geneva/Overview/Overview.html,,,,,,,,,
,Alemania,EU Business School,Business,bachelor of business administration,BBA - Bachelor of Business Administration,Munich,"October, February, June, August",3 years,"30.200,00",CHF,https://www.euruni.edu/en/Programs/Bachelor-s/BBA-Bachelor-of-Business-Administration-Munich/Overview/Overview.html,,,,,,,,,
,Alemania,EU Business School,Business,bachelor of arts,BA (Hons) in Business Management,Munich,"October, February, June, August",3 years,"30.200,00",CHF,https://www.euruni.edu/en/Programs/Bachelor-s/BA-Hons-in-Business-Management-Munich-1/Overview/Overview.html,,,,,,,,,
,Alemania,EU Business School,Business,bachelor of arts,BA (Hons) in Business Project Management,Munich,"October, February, June, August",3 years,"30.200,00",CHF,https://www.euruni.edu/en/Programs/Bachelor-s/BA-Hons-in-Business-Project-Management-Munich/Overview/Overview.html,,,,,,,,,
,Alemania,EU Business School,Business,bachelor of arts,BA (Hons) in Business HR Management,Munich,"October, February, June, August",3 years,"30.200,00",CHF,https://www.euruni.edu/en/Programs/Bachelor-s/BA-Hons-in-Business-HR-Management-Munich/Overview/Overview.html,,,,,,,,,
,Alemania,EU Business School,Business,bachelor of arts,BA (Hons) in Business Law,Munich,"October, February, June, August",3 years,"30.200,00",CHF,https://www.euruni.edu/en/Programs/Bachelor-s/BA-Hons-in-Business-Law-Munich/Overview/Overview.html,,,,,,,,,
,Alemania,EU Business School,Business,bachelor of arts,BA (Hons) in Business Information Systems,Munich,"October, February, June, August",3 years,"30.200,00",CHF,https://www.euruni.edu/en/Programs/Bachelor-s/BA-Hons-in-Business-Information-Systems-Munich/Overview/Overview.html,,,,,,,,,
,Australia,Macquarie University,Business,Bachelor of Business,Major in Business Administration,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-business,,,,,,,,,
,Australia,Macquarie University,Business,Bachelor of Commerce,Major in Business Administration,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-commerce#fees-and-scholarships,,,,,,,,,
,Australia,Macquarie University,Business,Bachelor of Business Analytics,Major in Business Analytics ,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",4 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-business-analytics,,,,,,,,,
,Australia,Macquarie University,Business,Bachelor of Business Analytics,Major in Business Intelligence,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",4 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-business-analytics,,,,,,,,,
,Australia,Macquarie University,Business,Bachelor of Commerce,Major in Business Analytics,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-commerce#fees-and-scholarships,,,,,,,,,
,Australia,Macquarie University,Business,Bachelor of Commerce,Major in Business Intelligence,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-commerce#fees-and-scholarships,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,Agribusiness,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,Digital business,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,Economics,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,Enterprise,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,Event management,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,Finance,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,Human resource management,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,International business,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,Management,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,Marketing,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,"Sport management
","	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,Bachelor of Business,Tourism and hospitality,"	Melbourne (Bundoora), Bendigo, Online, Sydney","Semester 1 (March 2024), Semester 2 (July 2024), Summer (November 2024)",	3 years full-time," $ 36.800,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-business#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,"Bachelor of Commerce
",Accounting,Melbourne,"Semester 1: March
Semester 2: July",2 years full time," $ 39.400,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-commerce#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,"Bachelor of Commerce
",Business analytics,Melbourne,"Semester 1: March
Semester 2: July",2 years full time," $ 39.400,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-commerce#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,"Bachelor of Commerce
",Economics,Melbourne,"Semester 1: March
Semester 2: July",2 years full time," $ 39.400,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-commerce#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,"Bachelor of Commerce
",Finance,Melbourne,"Semester 1: March
Semester 2: July",2 years full time," $ 39.400,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-commerce#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,"Bachelor of Commerce
","Management
",Melbourne,"Semester 1: March
Semester 2: July",2 years full time," $ 39.400,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-commerce#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,La Trobe University,Business,"Bachelor of Commerce
",Marketing,Melbourne,"Semester 1: March
Semester 2: July",2 years full time," $ 39.400,00 ",AUD,https://www.latrobe.edu.au/courses/bachelor-of-commerce#/overview?location=BU&studentType=int&year=2024,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Business,Business and Digital Communications,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 41.600,00 ",AUD,https://www.deakin.edu.au/course/bachelor-business-international#tab__1--4,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Business,Entrepreneurship and Innovation,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 41.600,00 ",AUD,https://www.deakin.edu.au/course/bachelor-business-international#tab__1--4,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Business,Event Management,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 41.600,00 ",AUD,https://www.deakin.edu.au/course/bachelor-business-international#tab__1--4,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Business,Organisational Psychology,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 41.600,00 ",AUD,https://www.deakin.edu.au/course/bachelor-business-international#tab__1--4,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Business,People Management,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 41.600,00 ",AUD,https://www.deakin.edu.au/course/bachelor-business-international#tab__1--4,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Business,Project Management,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 41.600,00 ",AUD,https://www.deakin.edu.au/course/bachelor-business-international#tab__1--4,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Business,Retail and Supply Chain Management,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 41.600,00 ",AUD,https://www.deakin.edu.au/course/bachelor-business-international#tab__1--4,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Business,Recruitment and Talent Acquisition,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 41.600,00 ",AUD,https://www.deakin.edu.au/course/bachelor-business-international#tab__1--4,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Business,Sustainability and Development,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 41.600,00 ",AUD,https://www.deakin.edu.au/course/bachelor-business-international#tab__1--4,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Commerce,Accounting,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 44.000,00 ",AUD,https://www.deakin.edu.au/course/bachelor-commerce-international#tab__1--5,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Commerce,Economics,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 44.000,00 ",AUD,https://www.deakin.edu.au/course/bachelor-commerce-international#tab__1--5,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Commerce,Finance,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 44.000,00 ",AUD,https://www.deakin.edu.au/course/bachelor-commerce-international#tab__1--5,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Commerce,Financial Planning^,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 44.000,00 ",AUD,https://www.deakin.edu.au/course/bachelor-commerce-international#tab__1--5,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Commerce,Human Resource,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 44.000,00 ",AUD,https://www.deakin.edu.au/course/bachelor-commerce-international#tab__1--5,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Commerce,Management,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 44.000,00 ",AUD,https://www.deakin.edu.au/course/bachelor-commerce-international#tab__1--5,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Commerce,Management Information Systems,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 44.000,00 ",AUD,https://www.deakin.edu.au/course/bachelor-commerce-international#tab__1--5,,,,,,,,,
,Australia,Deakin University,Business,Bachelor of Commerce,Marketing,"Burwood (Melbourne)
Waterfront (Geelong)
Online","Trimester 1: March
Trimester 2: July
Trimester 3: November",3 years full time," $ 44.000,00 ",AUD,https://www.deakin.edu.au/course/bachelor-commerce-international#tab__1--5,,,,,,,,,
,Reino Unido,University of Glasgow,Health Sciences,Chemistry with Medicinal Chemistry BSc (Hons),Chemistry with Medicinal Chemistry BSc (Hons),Glasgow,September ,4 years full-time," $ 30.240,00 ",GBP,https://www.gla.ac.uk/undergraduate/degrees/chemistrymedicinal/,,,,,,,,,
,Reino Unido,University of Reading,Health Sciences,BSc Chemistry with Cosmetic Science with a Year in Industry,BSc Chemistry with Cosmetic Science with a Year in Industry,Berkshire,"
09-February
18-Septiembre",4 years full-time," $ 27.650,00 ",GBP,https://www.reading.ac.uk/ready-to-study/study/subject-area/chemistry-ug/bsc-chemistry-with-cosmetic-science-with-a-year-in-industry,,,,,,,,,
,Reino Unido,Keele University ,Health Sciences,Pharmaceutical and Cosmetic Science - BSc (Hons),Pharmaceutical and Cosmetic Science - BSc (Hons),Keele ,"22-January

24-September",3 years full-time," $ 28.000,00 ",GBP,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/pharmaceuticalandcosmeticscience/#overview,,,,,,,,,
,Australia,RMIT University,Science,Bachelor of Environmental Science,"Qui­mica, BiologÃ­a, Geospacial",Melbourne City,"Feb, Jul",3 años,43200,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/bachelor-degrees/bachelor-of-environmental-science-bp192,,,,,,,,,
,Irlanda,National College of Ireland,Science,BSc in Data Science,Data Science,Dublin,Septiembre,3 años,14000,EUR,https://www.ncirl.ie/Courses/NCI-Course-Details/course/BSHDS,,,,,,,,,
,Australia,RMIT University,Science,Bachelor of Space Science,-,Melbourne City,"Feb, Jul",3 años,43200,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/bachelor-degrees/bachelor-of-space-science-bp330,,,,,,,,,
,Reino Unido,Queen's University Belfast,Science,BSc Biological Sciences,Biological Sciences,Belfast,Septiembre,3 años,20800,GBP,https://www.qub.ac.uk/courses/undergraduate/biological-sciences-bsc-c100/,GSP,,,,,,,,
,Reino Unido,University of Reading,Science,BSc Biomedical Sciences,Biomedical Sciences,Reading,Septiembre,3 años,29950,GBP,https://www.reading.ac.uk/ready-to-study/study/subject-area/biological-sciences-ug/bsc-biomedical-sciences,GSP,,,,,,,,
,Canada,Lakehead University,Science,BSc in Environmental Science,-,Thunder Bay,Sep,4 años,33000,CAD,https://www.lakeheadu.ca/programs/undergraduate-programs,,,,,,,,,
,Canada,Lakehead University,Science,BSc in Biology,-,Thunder Bay,Sep,4 años,33000,CAD,https://www.lakeheadu.ca/programs/undergraduate-programs,,,,,,,,,
,Australia,RMIT University,Science,Bachelor of Data Science,"AI, Cyber, Analytics",Melbourne City,"Feb, Jul",3 años,43200,AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/bachelor-degrees/bachelor-of-data-science-bp340,,,,,,,,,
,Canada,Lakehead University,Science,BSc in Computer Science,-,"Thunder Bay, Orillia, Barrie",Sep,4 años,32000,CAD,https://www.lakeheadu.ca/programs/undergraduate-programs,,,,,,,,,
,Reino Unido,Keele University,Health Sciences,MBChB Medicine,Medicine,Keele,Septiembre,5 años,45000,GBP,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/medicine/,GSP,,,,,,,,
,Canada,Lakehead University,Arts,BA in Anthropology,-,"Thunder Bay, Orillia",Sep,4 años,33000,CAD,https://www.lakeheadu.ca/programs/undergraduate-programs,,,,,,,,,
,Reino Unido,University of Glasgow,Science,MA International Relations,International Relations,Glasgow,Septiembre,4 años,21900,GBP,https://www.gla.ac.uk/undergraduate/degrees/internationalrelations/,GSP,,,,,,,,
,Australia,Macquarie University,Engineering,Bachelor of Engineering (Honours),Major in Civil Engineering,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",4 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-engineering-honours,,,,,,,,,
,Australia,Macquarie University,Double,Bachelor of Arts and Bachelor of Engineering (Honours),Major in Civil Engineering,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",5 years full time," $ 41.300,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-arts-and-bachelor-of-engineering-honours,,,,,,,,,
,Australia,Macquarie University,Economics,Bachelor of Applied Finance,Major in Business Infromation Systems,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-applied-finance,,,,,,,,,
,Australia,Macquarie University,Economics,Bachelor of Applied Finance,Cyber Security Governance,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-applied-finance,,,,,,,,,
,Australia,Macquarie University,Economics,Bachelor of Applied Finance,Entrepeneur and Innovation,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-applied-finance,,,,,,,,,
,Australia,Macquarie University,Economics,Bachelor of Applied Finance," Strategy, Innovation and Entrepeneurship",North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-applied-finance,,,,,,,,,
,Australia,Macquarie University,Business,Bachelor of Business Analytics,Major in Business Infromation Systems,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",4 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-business-analytics,,,,,,,,,
,Australia,Macquarie University,Business,Bachelor of Business Analytics,Cyber Security Governance,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",4 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-business-analytics,,,,,,,,,
