,,,,,,,,,,,,,,,,,,,,
,Tabla de conversiones,,,Bachelors,,,,,,,,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Performing Arts and Entertainment Industries,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Philosophy,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Politics,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Psychological Science,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Arts,Bachelor of Arts,Sociology,North Ryde,"Session 1 (23 February 2026)
Session 2 (27 July 2026)",3 years full time," $ 39.600,00 ",AUD,https://www.mq.edu.au/study/find-a-course/arts-and-social-sciences/international-relations,,,,,,,,,
,Australia,Macquarie University,Economics,Bachelor of Professional Accounting,Accounting,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-professional-accounting#fees-and-scholarships,,,,,,,,,
,Australia,Macquarie University,Economics,Bachelor of Professional Accounting,Business Information Systems,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-professional-accounting#fees-and-scholarships,,,,,,,,,
,Australia,Macquarie University,Economics,Bachelor of Professional Accounting,Cyber Security Governance Studies,North Ryde,"Session 1 (19 February 2024)
Session 2 (22 July 2024)",3 years full time," $ 43.200,00 ",AUD,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-professional-accounting#fees-and-scholarships,,,,,,,,,
,Australia,Adelaide University,Engineering,Bachelor of Aerospace Engineering,Aerospace Engineering,Adelaide City,"February, July",4 years full-time," $ 52.300,00 ",AUD,https://adelaideuni.edu.au/study/degrees/bachelor-of-engineering-mechanical-honours-aerospace-engineering/,,,,,,,,,
,Australia,RMIT,Engineering,Bachelor of Aerospace Engineering,Aerospace Engineering,Melbourne City,"February, July, October",4 years full-time," $ 45.120,00 ",AUD,https://www.rmit.edu.au/study-with-us/levels-of-study/undergraduate-study/honours-degrees/bachelor-of-engineering-aerospace-engineering-honours-bh078,,,,,,,,,
,Reino Unido,Queen's University Belfast,Engineering,Bachelor of Aerospace Engineering,Engineering,Belfast,September,5 years full-time," $ 25.300,00 ",GBP,https://www.qub.ac.uk/courses/undergraduate/aerospace-engineering-beng-h400/,,,,,,,,,
,Australia,Adelaide University,Science,Bachelor of Agricultural Sciences,-,"Waite, Adelaide, Roseworthy","Feb, Jul",3 años,"54.900,00 €",AUD,https://adelaideuni.edu.au/study/degrees/bachelor-of-agricultural-sciences/int/,,,,,,,,,
,Australia,Adelaide University,Science,Bachelor of Science majoring in Animal Behaviour,-,"Roseworthy, Adelaide City","Feb, Jul",3 años,53300,AUD,https://adelaideuni.edu.au/study/degrees/bachelor-of-science-animal-behaviour/int/,,,,,,,,,
,Australia,Adelaide University,Science,Bachelor of Science majoring en Animal Science,-,"Roseworthy, Adelaide City",Feb,3 años,53300,AUD,https://adelaideuni.edu.au/study/degrees/bachelor-of-science-animal-science/int/,,,,,,,,,
,Australia,Adelaide University,Science,Bachelor of Veterinary Technology,-,"Roseworthy, Adelaide City","Feb, Jul",3 años,53300,AUD,https://adelaideuni.edu.au/study/degrees/bachelor-of-veterinary-technology/int/,,,,,,,,,
,Australia,Adelaide University,Science,Bachelor of Viticulture and Oenology,-,"Waite, Adelaide","Feb, Jul",3 años,53300,AUD,https://adelaideuni.edu.au/study/degrees/bachelor-of-viticulture-and-oenology/int/,,,,,,,,,
,Australia,University of Southern Queensland,Science,Bachelor of Environmental Science,Bachelor of Environmental Science,Toowoomba (Queensland),"Feb, May, Sept",3 years full-time," $ 37.080,00 ",AUD,https://www.unisq.edu.au/study/degrees/bachelor-of-environmental-science/climate-science/international#entry-requirements,,,,,,,,,
,Alemania,Schiller International University,Business,Bachelor of Science in Business Analytics,"Big Data, Anali­tica",Heidelberg,"Feb., Sept.",4 Años,15400,EUR,https://www.schiller.edu/programs/bachelor-of-science-in-business-analytics,,,,,,,,,
,Estados Unidos,Schiller International University,Business,Bachelor of Science in Business Analytics,"Big Data, Anali­tica",Tampa,"Feb., Sept.",4 Años,15400,EUR,https://www.schiller.edu/programs/bachelor-of-science-in-business-analytics,,,,,,,,,
