Course Name,University Name,Domain,Credential Level,Fees,Minimum Requirements,Intakes Duration,Link
Bachelor of Speech and Language Therapy (EnglishTurkish),Istanbul Medipol University,"Mental Health, Psychological Therapy",Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Ergotherapy,Istanbul Medipol University,"Mental Health, Psychological Therapy",Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Physiotherapy and Rehabilitation (English),Istanbul Medipol University,"Mental Health, Psychological Therapy",Bachelor's Degree,7200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Audiology,Istanbul Medipol University,Medicine,Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Nursing (in Turkish),Istanbul Medipol University,Healthcare,Bachelor's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Orthotics-Prosthetics,Istanbul Medipol University,Medicine,Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Social Work,Istanbul Medipol University,Humanities and Social Science,Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Health Management (Turkish/English),Istanbul Medipol University,Health Sciences and Management,Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Nursing (in English),Istanbul Medipol University,Healthcare,Bachelor's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Biomedical Engineering (English),Istanbul Medipol University,"Biomedical/Biochemical or Bioengineering, Bioinformation",Bachelor's Degree,8200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Civil Engineering (English),Istanbul Medipol University,Construction/Civil/Urban Development,Bachelor's Degree,8200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Computer Engineering (English),Istanbul Medipol University,Computer/IT/Data/Information Systems,Bachelor's Degree,8200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Electrical-Electronic Engineering,Istanbul Medipol University,Electrical and Electronics,Bachelor's Degree,8200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Psychology,Istanbul Medipol University,"Psychology (Neuro, Clinical, Developmental etc)",Bachelor's Degree,5600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Industrial Engineering,Istanbul Medipol University,"Industrial, Systems and Material",Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of International trade and finance,Istanbul Medipol University,"Finance, Banking and FinTech",Bachelor's Degree,5600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Human Resources Management,Istanbul Medipol University,Human Resources / Management,Bachelor's Degree,5600.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Political science and Public Administration,Istanbul Medipol University,International Relations and Political Sciences,Bachelor's Degree,5200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Dentistry (70%Turkish 30% English),Istanbul Medipol University,Dentistry,Bachelor's Degree,32000.00USD,"70%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Psychological counseling and guidance,Istanbul Medipol University,"Entertainment, Music/Dance/Performing Arts",Bachelor's Degree,5000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 80+ (Optional)",September,
Bachelor of Computer Engineering (English),Istanbul Bilgi University,Computer/IT/Data/Information Systems,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Energy System,Istanbul Bilgi University,"Environmental, Energy / Sustainability",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Architecture,Istanbul Bilgi University,Architecture (B.Arch - M.Arch),Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Industrial Design,Istanbul Bilgi University,Industrial & Product Design,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Interior Design,Istanbul Bilgi University,"Interior, Furniture, Events and Set&Stage Design",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Civil Engineering,Istanbul Bilgi University,Construction/Civil/Urban Development,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Electrical-Electronic Engineering,Istanbul Bilgi University,Electrical and Electronics,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Genetics and BioEngineering,Istanbul Bilgi University,"Biomedical/Biochemical or Bioengineering, Bioinformation",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Industrial Engineering,Istanbul Bilgi University,"Industrial, Systems and Material",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Mathematics,Istanbul Bilgi University,"Physics, Mathematics - Science and Technology",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Mechanical Engineering,Istanbul Bilgi University,Mechanical,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Mechatronics Engineering,Istanbul Bilgi University,Mechatronics,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Comparative Literature,Istanbul Bilgi University,Health Sciences and Management,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of International Relations,Istanbul Bilgi University,International Relations and Political Sciences,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Music,Istanbul Bilgi University,"Entertainment, Music/Dance/Performing Arts",Bachelor's Degree,8100.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Psychology,Istanbul Bilgi University,"Psychology (Neuro, Clinical, Developmental etc)",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Political science,Istanbul Bilgi University,International Relations and Political Sciences,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Sociology,Istanbul Bilgi University,Humanities and Social Science,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Aviation Management,Istanbul Bilgi University,"Automotive, Vehicles, Aviation",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Sport Management,Istanbul Bilgi University,Business Administration and Management,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Tourism and Hotel Management,Istanbul Bilgi University,Tourism & Hospitality,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Gastronomy and Culinary Arts,Istanbul Bilgi University,Tourism & Hospitality,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Physical therapy and Rehabilitation,Istanbul Bilgi University,"Mental Health, Psychological Therapy",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of International Trade and Business,Istanbul Bilgi University,Business Administration and Management,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Business Administration,Istanbul Bilgi University,Business Administration and Management,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Economics and Finance,Istanbul Bilgi University,"Finance, Banking and FinTech",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Communication Design and Management,Istanbul Bilgi University,"Media, Communication and Advertising",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Marketing,Istanbul Bilgi University,"Marketing & Digital, Content Marketing",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of English Language and Literature,Istanbul Bilgi University,Language & Linguistics & Translation and Language Technology,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of History,Istanbul Bilgi University,History,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Advertising,Istanbul Bilgi University,"Media, Communication and Advertising",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of New Media and Communication,Istanbul Bilgi University,"Media, Communication and Advertising",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Public Relations and Publicity,Istanbul Bilgi University,Humanities and Social Science,Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Visual Communication Design,Istanbul Bilgi University,"Media, Communication and Advertising",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
"Bachelor of Radio,Television and Cinema",Istanbul Bilgi University,"Film, Media and Television",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
Bachelor of Digital Game Design,Istanbul Bilgi University,"UI/UX, Game Design and Technologies",Bachelor's Degree,6950.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",September,
