Course Name,University Name,Domain,Credential Level,Fees,Minimum Requirements,Intakes Duration,Link
Bachelor of Sports Trainer Education (Turkish),Istanbul Aydin University,Health Sciences and Management,Bachelor's Degree,4000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor of Recreation (Turkish),Istanbul Aydin University,Medicine,Bachelor's Degree,4000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor of Software Development (English),Istanbul Aydin University,"Software, Programing, Develoment",Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor of Pilotage (English),Istanbul Aydin University,"Automotive, Vehicles, Aviation",Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor of Translation and Interpretation (Arabic) (Turkish),Istanbul Aydin University,Language & Linguistics & Translation and Language Technology,Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor of Architecture (English),Istanbul Aydin University,Architecture (B.Arch - M.Arch),Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor of Management Information Systems (English),Istanbul Aydin University,Business Administration and Management,Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor of Aerospace Engineering (English),Istanbul Aydin University,Aerospace/Aeronautics,Bachelor's Degree,6000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Computer Engineering (Thesis) (Turkish),Istanbul Aydin University,Computer/IT/Data/Information Systems,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Information Technology (Non-Thesis) (Turkish),Istanbul Aydin University,Computer/IT/Data/Information Systems,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Electrical and Electronics Engineering (Thesis) (English),Istanbul Aydin University,Electrical and Electronics,Master's Degree,9000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Food Safety (Thesis) (Turkish),Istanbul Aydin University,Food and Agriculture,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Food Engineering (Thesis) (Turkish),Istanbul Aydin University,Food and Agriculture,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Civil Engineering (Thesis) (Turkish),Istanbul Aydin University,Construction/Civil/Urban Development,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Occupational Health and Safety (Thesis) (Turkish),Istanbul Aydin University,Health Sciences and Management,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Occupational Health and Safety (Non-Thesis) (Turkish),Istanbul Aydin University,Health Sciences and Management,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Urban Design (Non-Thesis) (Turkish),Istanbul Aydin University,Construction/Civil/Urban Development,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Mechanical Engineering (Thesis) (Turkish),Istanbul Aydin University,Mechanical,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Mechatronics Engineering (Thesis) (Turkish),Istanbul Aydin University,Mechatronics,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Architecture (Thesis) (Turkish),Istanbul Aydin University,Architecture (B.Arch - M.Arch),Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Family Counseling (Thesis) (Turkish),Istanbul Aydin University,Healthcare,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Family Counseling (Non-Thesis) (Turkish),Istanbul Aydin University,Healthcare,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Health Physics (Thesis) (Turkish),Istanbul Aydin University,Healthcare,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Healthcare Management (Non-Thesis) (Turkish),Istanbul Aydin University,Health Sciences and Management,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Physiotherapy and Rehabilitation (Thesis) (Turkish),Istanbul Aydin University,"Mental Health, Psychological Therapy",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Nutrition and Dietetics (Thesis) (Turkish),Istanbul Aydin University,Nutrition and Dietetics,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Audiology (Thesis) (Turkish),Istanbul Aydin University,Medicine,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Social Services (Thesis) (Turkish),Istanbul Aydin University,Healthcare,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Social Services (Non-Thesis) (Turkish),Istanbul Aydin University,Healthcare,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Arabic Language and Training (Thesis) (Turkish),Istanbul Aydin University,Language & Linguistics & Translation and Language Technology,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Banking and Insurance (Thesis) (Turkish),Istanbul Aydin University,"Finance, Banking and FinTech",Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Banking and Insurance (Non-Thesis) (Turkish),Istanbul Aydin University,"Finance, Banking and FinTech",Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor of Business Management (E-Business) (Turkish),Istanbul Aydin University,Business Administration and Management,Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Visual Arts (Thesis) (Turkish),Istanbul Aydin University,"Animation, 2D/3D, Multimedia Design",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Graphic Design (Thesis) (Turkish),Istanbul Aydin University,"Graphics, Digital and Visual Design",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Public Relations and Publicity (Thesis) (Turkish),Istanbul Aydin University,Humanities and Social Science,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Pre-School Education (Thesis) (Turkish),Istanbul Aydin University,Education,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Pre-School Education (Non-Thesis) (Turkish),Istanbul Aydin University,Education,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of English Language and Literature (Thesis) (English),Istanbul Aydin University,Language & Linguistics & Translation and Language Technology,Master's Degree,9000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Human Resources Management (Thesis) (Turkish),Istanbul Aydin University,Human Resources / Management,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Human Resources Management (Non-Thesis) (Turkish),Istanbul Aydin University,Human Resources / Management,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Business Management for Business Manager (Thesis) (English),Istanbul Aydin University,Business Administration and Management,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Business Administration (Thesis) (Turkish),Istanbul Aydin University,Business Administration and Management,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Quality Management and Quality Assurance Systems (Thesis) (Turkish),Istanbul Aydin University,Business Administration and Management,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Quality Management and Quality Assurance Systems (Non-Thesis) (Turkish),Istanbul Aydin University,Business Administration and Management,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Public Law (Thesis) (Turkish),Istanbul Aydin University,"Law (LLB, LLM, JD and interdisciplinary)",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Public Law (Non-Thesis) (Turkish),Istanbul Aydin University,"Law (LLB, LLM, JD and interdisciplinary)",Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Accounting and Auditing (Thesis) (Turkish),Istanbul Aydin University,"Accounting & Actuarial Science, Statistics",Master's Degree,4200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Translation and Interpretation (Thesis) (Russian),Istanbul Aydin University,Language & Linguistics & Translation and Language Technology,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Private Law (Thesis) (Turkish),Istanbul Aydin University,"Law (LLB, LLM, JD and interdisciplinary)",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Private Law (Non-Thesis) (Turkish),Istanbul Aydin University,"Law (LLB, LLM, JD and interdisciplinary)",Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Psychology (Thesis) (Turkish),Istanbul Aydin University,"Psychology (Neuro, Clinical, Developmental etc)",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Political Science and International Relations (Thesis) (English),Istanbul Aydin University,International Relations and Political Sciences,Master's Degree,9000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Strategic Marketing and Brand Management (Non-Thesis) (Turkish),Istanbul Aydin University,"Marketing & Digital, Content Marketing",Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Sociology (Thesis) (Turkish),Istanbul Aydin University,Humanities and Social Science,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of History (Thesis) (Turkish),Istanbul Aydin University,History,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of TV and Film (Thesis) (Turkish),Istanbul Aydin University,"Film, Media and Television",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Performing Arts (Thesis) (Turkish),Istanbul Aydin University,"Entertainment, Music/Dance/Performing Arts",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Turkish Language and Literature (Thesis) (Turkish),Istanbul Aydin University,Language & Linguistics & Translation and Language Technology,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of International Economics (Thesis) (Turkish),Istanbul Aydin University,Economics,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of International Relations and Intelligence Studies (Thesis) (Turkish),Istanbul Aydin University,International Relations and Political Sciences,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Business Administration (Thesis) (English),Istanbul Aydin University,Business Administration and Management,Master's Degree,9000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Business Management for Business Manager (Non-Thesis) (Turkish),Istanbul Aydin University,Business Administration and Management,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of New Media (Thesis) (Turkish),Istanbul Aydin University,"Media, Communication and Advertising",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Orthodontics (Thesis) (Turkish),Istanbul Aydin University,Dentistry,Master's Degree,15000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Translation and Interpretation (Thesis) (Turkish),Istanbul Aydin University,Language & Linguistics & Translation and Language Technology,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of International Economics (Non-Thesis) (Turkish),Istanbul Aydin University,Economics,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Information Technology Law (Thesis) (Turkish),Istanbul Aydin University,"Law (LLB, LLM, JD and interdisciplinary)",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Elementary Education (Thesis) (Turkish),Istanbul Aydin University,Education,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Elementary Education (Non-Thesis) (Turkish),Istanbul Aydin University,Education,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Education Program and Instruction (Non-Thesis) (Turkish),Istanbul Aydin University,Education,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Education Program and Instruction (Thesis) (Turkish),Istanbul Aydin University,Education,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Higher Education Administration (Thesis) (Turkish),Istanbul Aydin University,Business Administration and Management,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Civil Engineering Construction and Project Management (Non-Thesis) (Turkish),Istanbul Aydin University,Construction/Civil/Urban Development,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of IT Based Teaching Technologies (Non-Thesis) (Turkish),Istanbul Aydin University,Education,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Urban Renewal (Thesis) (Turkish),Istanbul Aydin University,Construction/Civil/Urban Development,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Local Government and Decentralization (Non-Thesis) (Turkish),Istanbul Aydin University,Health Sciences and Management,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Local Government and Decentralization (Thesis) (Turkish),Istanbul Aydin University,Health Sciences and Management,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Local Protective Tooth Treatment (Non-Thesis) (Turkish),Istanbul Aydin University,Health Sciences and Management,Master's Degree,11000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Local Protective Tooth Treatment (Thesis) (Turkish),Istanbul Aydin University,Health Sciences and Management,Master's Degree,11000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Electrical and Electronics Engineering (Thesis) (Turkish),Istanbul Aydin University,Electrical and Electronics,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Artificial Intelligence and Data Science (Thesis) (English),Istanbul Aydin University,Artificial Intelligence,Master's Degree,9000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Mechanical Engineering (Thesis) (English),Istanbul Aydin University,Mechanical,Master's Degree,9000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Educational Administration (Thesis) (Turkish),Istanbul Aydin University,Business Administration and Management,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Turkish Language Education (Thesis) (Turkish),Istanbul Aydin University,Education,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of International Business Management (Distance Education) (Non-Thesis) (English),Istanbul Aydin University,Business Administration and Management,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Accounting and Auditing (Non-Thesis) (Turkish),Istanbul Aydin University,"Accounting & Actuarial Science, Statistics",Master's Degree,4200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Public Relations and Publicity (Non-Thesis) (Turkish),Istanbul Aydin University,Humanities and Social Science,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Arabic Language and Training (Non-Thesis) (Turkish),Istanbul Aydin University,Language & Linguistics & Translation and Language Technology,Master's Degree,4200.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Business Management for Business Manager (Non-Thesis) (English),Istanbul Aydin University,Business Administration and Management,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of New Media (Non-Thesis) (Turkish),Istanbul Aydin University,"Media, Communication and Advertising",Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Digital Marketing (Non-Thesis) (Turkish),Istanbul Aydin University,"Marketing & Digital, Content Marketing",Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Clinical Psychology (Thesis) (Turkish),Istanbul Aydin University,"Psychology (Neuro, Clinical, Developmental etc)",Master's Degree,11000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Clinical Psychology (Non-Thesis) (Turkish),Istanbul Aydin University,"Psychology (Neuro, Clinical, Developmental etc)",Master's Degree,11000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Architectural Design (Non-Thesis) (Turkish),Istanbul Aydin University,Architecture and Design,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Architectural Design (Thesis) (Turkish),Istanbul Aydin University,Architecture and Design,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Healthcare Management (Thesis) (Turkish),Istanbul Aydin University,Health Sciences and Management,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Medical Microbiology (Thesis) (Turkish),Istanbul Aydin University,"Biotechnology, Biomedicine, Biochemistry",Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Physical Education and Sport (Thesis) (Turkish),Istanbul Aydin University,Education,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Periodontology (Thesis) (Turkish),Istanbul Aydin University,Dentistry,Master's Degree,15000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
"Master of Mouth, Teeth and Jaw Surgery (Thesis) (Turkish)",Istanbul Aydin University,Dentistry,Master's Degree,15000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Orthodontics (Non-Thesis) (Turkish),Istanbul Aydin University,Dentistry,Master's Degree,15000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of English Language Teaching (Thesis) (English),Istanbul Aydin University,Education,Master's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of English Language Teaching (Non-Thesis) (English),Istanbul Aydin University,Education,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Health Care Management (Non-Thesis) (Turkish),Istanbul Aydin University,Health Sciences and Management,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Social Work (Non-Thesis) (Turkish),Istanbul Aydin University,Humanities and Social Science,Master's Degree,11000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of Prothetic Dental Treatment (Non-Thesis) (Turkish),Istanbul Aydin University,Dentistry,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Master of E-Business Management (Non-Thesis) (Distance Education) (Turkish),Istanbul Aydin University,Business Administration and Management,Master's Degree,7000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Mathematics,Izmir Ekonomi University,"Physics, Mathematics - Science and Technology",Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in English Translation and Interpretation,Izmir Ekonomi University,Language & Linguistics & Translation and Language Technology,Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Physics,Izmir Ekonomi University,"Physics, Mathematics - Science and Technology",Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Psychology,Izmir Ekonomi University,"Psychology (Neuro, Clinical, Developmental etc)",Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Sociology,Izmir Ekonomi University,Humanities and Social Science,Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Architecture,Izmir Ekonomi University,Architecture (B.Arch - M.Arch),Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Interior Architecture and Environmental Design,Izmir Ekonomi University,Interdisciplinary Architecture,Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Textile and Fashion Design,Izmir Ekonomi University,Fashion Design / Management,Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Visual Communication Design,Izmir Ekonomi University,"Media, Communication and Advertising",Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Law,Izmir Ekonomi University,"Law (LLB, LLM, JD and interdisciplinary)",Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Cinema and Digital Media,Izmir Ekonomi University,"Media, Communication and Advertising",Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in New Media and Communication,Izmir Ekonomi University,"Media, Communication and Advertising",Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Public Relations and Advertising,Izmir Ekonomi University,"Media, Communication and Advertising",Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Accounting and Auditing Program,Izmir Ekonomi University,"Accounting & Actuarial Science, Statistics",Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
Bachelor in Economics,Izmir Ekonomi University,Economics,Bachelor's Degree,8000.00USD,"60%+ GPA equivalent curriculum passport copy application photo, father/mother contact info, CV, TOEFL 75+ (Optional)",August,
