pais,institucion,area,programa,ubicacion,fechas,duracion,costo,moneda,link
Australia,International College of Management,Business,Master of Business Administration (Digital Transformation),Sydney,"Main Intakes: February, May, August | Mid-Term Intakes: March, June, Octiber and December",2 years full time,27000.0,AUD,https://www.icms.edu.au/courses/post-Graduate/master-of-Business-Administration-Digital-Transformation/
Australia,International College of Management,Business,Master of Event Management,Sydney,"Main Intakes: February, May, August | Mid-Term Intakes: March, June, Octiber and December",2 years full time,24600.0,AUD,https://www.icms.edu.au/courses/post-Graduate/event-Management/
Australia,International College of Management,Business,Master of International Business,Sydney,"Main Intakes: February, May, August | Mid-Term Intakes: March, June, Octiber and December",2 years full time,24600.0,AUD,https://www.icms.edu.au/courses/post-Graduate/international-Business/
Australia,International College of Management,Business,Master of Management,Sydney,"Main Intakes: February, May, August | Mid-Term Intakes: March, June, October and December",2 years full time,24600.0,AUD,https://www.icms.edu.au/courses/post-Graduate/management/
Australia,International College of Management,Business,Master of Management (Tourism and Hospitality),Sydney,"Main Intakes: February, May, August | Mid-Term Intakes: March, June, Octiber and December",2 years full time,24600.0,AUD,https://www.icms.edu.au/courses/post-Graduate/tourism-Hospitality/
Australia,International College of Management,Business,Master of Information Technology,Sydney,"Main Intakes: February, May, August | Mid-Term Intakes: March, June, Octiber and December",1.5 years full time,25800.0,AUD,https://www.icms.edu.au/courses/post-Graduate/master-of-Information-Technology/
Australia,International College of Management,Business,Master of Information Technology (Big Data and Analytics),Sydney,"Main Intakes: February, May, August | Mid-Term Intakes: March, June, Octiber and December",1.5 years full time,25800.0,AUD,https://www.icms.edu.au/courses/post-Graduate/master-of-Information-Technology-Big-Data-and-Analytics/
Australia,International College of Management,Business,Master of Information Technology (Cyber Security),Sydney,"Main Intakes: February, May, August | Mid-Term Intakes: March, June, Octiber and December",1.5 years full time,25800.0,AUD,https://www.icms.edu.au/courses/post-Graduate/master-of-Information-Technology-Cyber-Security/
España,C3S Business School,Business,MBA with Project Management,Online,"Febreo, Octubre",1.5 years full time,9800.0,EUR,https://www.csss.es/programs/master-programs/mba-with-project-management/
España,C3S Business School,Business,Global MBA,-,"Febreo, Junio, Octubre",1.5 years full time,9800.0,EUR,https://www.csss.es/programs/master-programs/global-mba/
Malta,GBS Malta,Business,Master of Business Administration,Malta,February/May/October,1 years full time,10000.0,EUR,https://gbs.edu.mt/courses/masters-of-business-administration/
Malta,GBS Malta,Business,Master in Marketing and Brand Management,Malta,February/May/October,1 years full time,7000.0,EUR,https://gbs.edu.mt/courses/ma-marketing-and-brand-management/
Malta,GBS Malta,Business,MA Business and Management,Malta,February/May/October,1 years full time,7000.0,EUR,https://gbs.edu.mt/courses/ma-business-and-management/
Malta,GBS Malta,Business,Master in Business Administration Online,Online,February/May/October,1 years full time,10000.0,EUR,https://gbs.edu.mt/courses/master-in-business-administration-online/
USA,Schiller International University,Business,Master of Arts in International Relations and Diplomacy,"Paris, Heidelberg, Tampa",February | June | October,1 years full time,19560.0,EUR,https://schiller.edu/programs/master-of-arts-in-international-relations-and-diplomacy/
USA,Schiller International University,Business,Master of Business Administration,"Madrid, Paris, Heidelberg, Tampa, Online",September | January,1 years full time,19560.0,EUR,https://schiller.edu/programs/master-of-business-administration-mba/
USA,Schiller International University,Business,MBA in International Business,"Heidelberg, Paris, Madrid",October | February | June,1.5 years full time,24450.0,EUR,https://schiller.edu/programs/mba-in-international-business/
Francia,Schiller International University,Business,Master of Science in Digital Marketing and E-commerce,"Madrid, Paris",October,1 years full time,19560.0,EUR,https://schiller.edu/programs/master-of-science-in-digital-marketing-and-e-commerce/
USA,Schiller International University,Business,Master of Science in Global Finance,"Madrid, Paris",October,1 years full time,19560.0,EUR,https://schiller.edu/programs/master-of-science-in-global-finance/
USA,Schiller International University,Business,Master of Science in Sustainability Management,"Madrid, Paris",October,10 months full time,16300.0,EUR,https://schiller.edu/programs/master-of-science-in-sustainability-management/
Australia,University of Southern Queensland,Business,Master of Business (Digital Marketing),Toowomba,"February, May, September",2 years full time,32000.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-business/digital-marketing/international
Australia,University of Southern Queensland,Business,Master of Business (Finance),Springfield,"January, May, September",2 years full time,32000.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-business/finance/international
Australia,University of Southern Queensland,Business,Master of Business (Human Resource Leadership),"Toowomba
Springfield","January, May, September",2 years full time,32000.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-business/human-resource-leadership/international
Australia,University of Southern Queensland,Business,Master of Business (Information Management Systems),"Toowomba
Springfield","January, May, September",2 years full time,32000.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-business/information-management-systems/international
Australia,University of Southern Queensland,Business,Master of Business (Leadership),"Toowomba
Springfield","January, May, September",2 years full time,32000.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-business/leadership/international
Australia,University of Southern Queensland,Business,Master of Business (Organisational Project Management),Springfield,"January, May, September",2 years full time,32000.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-business/organisational-project-management/international
Australia,University of Southern Queensland,Business,Master of Research,"Ipswich
Springfield
Toowoomba","January, May, September",2 years full time,33600.0,AUD,https://www.unisq.edu.au/study/degrees/master-of-research/international
Australia,Curtin University,Business,International Business,Curtin Perth,"February, July",1.5 years full time,15759.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-international-business--mc-moib/
Australia,Curtin University,Business,Business Administration,Curtin Perth,"February, July",1.5 years full time,18869.0,AUD,https://www.curtin.edu.au/study/offering/course-pg-master-of-business-administration--mc-busadm/
